,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price,car_tier
71,2023-03-26,"Rempel, Runte and Wunsch",Land Rover,Range Rover,2012,Yellow,64269,Luxury
72,2023-04-10,Funk Group,Acura,TSX,2019,Blue,92533,Sports
73,2022-12-29,"Rowe, Bergstrom and O'Kon",Chrysler,300M,2014,Indigo,56047,Economy
74,2023-03-07,"Considine, Zulauf and MacGyver",Mitsubishi,Pajero,2012,Indigo,27651,Luxury
75,2023-01-22,"Baumbach, Braun and Yundt",Kia,Sedona,2011,Purple,31135,Sports
76,2022-12-29,Harber-Kemmer,Nissan,Murano,2015,Blue,57152,Budget
77,2023-01-08,"Jacobi, Frami and Littel",GMC,Yukon XL 1500,2019,Crimson,91914,Off-Road
78,2022-12-16,Swift-Bartoletti,Land Rover,LR3,2021,Maroon,79344,Off-Road
79,2022-12-27,McClure Group,Infiniti,QX,2013,Teal,67514,Luxury
80,2023-04-18,Abernathy and Sons,Infiniti,M,2021,Blue,52155,Budget
81,2022-12-12,Murray-Watsica,Nissan,Datsun/Nissan Z-car,2023,Maroon,80281,Economy
82,2023-04-04,"Stark, Koss and Murphy",Kia,Mohave/Borrego,2019,Puce,62944,Sports
83,2023-02-01,"Bailey, Brakus and Kirlin",Volvo,XC70,2021,Crimson,50695,Sports
84,2023-01-25,Homenick LLC,GMC,Envoy,2013,Mauv,23622,Economy
85,2023-01-13,"Mann, West and Reilly",Saab,9-3,2015,Goldenrod,75989,Off-Road
86,2023-02-10,Hodkiewicz-Farrell,Dodge,Ram Van B250,2017,Khaki,70994,Off-Road
87,2023-05-06,Johnston-Boehm,Volvo,XC70,2014,Turquoise,12176,Budget
88,2022-11-29,Denesik Inc,Ford,Expedition,2018,Khaki,91206,Sports
89,2023-02-04,"Quitzon, Barton and Kilback",GMC,Sierra 1500,2021,Goldenrod,53458,Sports
90,2022-12-09,Harris-Schneider,Chrysler,200,2011,Maroon,70089,Luxury
91,2023-04-16,Hamill-Mueller,Ford,Ranger,2020,Indigo,10115,Budget
92,2023-02-27,"Champlin, Wyman and Pouros",Mercury,Cougar,2016,Fuscia,15920,Luxury
93,2023-01-11,Yost and Sons,Jeep,Patriot,2021,Teal,81723,Budget
94,2023-05-04,"Grady, Herzog and Skiles",Mercury,Topaz,2023,Crimson,90622,Economy
95,2023-04-02,Feest Group,Buick,LeSabre,2013,Maroon,65380,Budget
96,2023-05-02,"Zboncak, Hilpert and Schroeder",Honda,Accord,2012,Khaki,24194,Sports
97,2022-12-03,Cassin-Stoltenberg,Ford,Fiesta,2012,Mauv,37604,Sports
98,2022-11-25,Wunsch-Hyatt,Toyota,Prius,2012,Orange,18027,Budget
99,2023-02-17,"Heaney, Okuneva and Ryan",Porsche,911,2021,Aquamarine,93607,Economy
100,2022-11-27,West Group,Mercury,Grand Marquis,2016,Maroon,20966,Off-Road
101,2023-02-20,Grady-Lockman,Ford,F250,2014,Pink,52103,Luxury
102,2022-11-21,"Strosin, Cole and Leuschke",Pontiac,Firebird,2013,Fuscia,32627,Off-Road
103,2023-01-11,Luettgen-Beatty,Dodge,Stratus,2010,Mauv,40351,Economy
104,2023-04-12,Wehner and Sons,Suzuki,Reno,2015,Purple,70412,Luxury
105,2023-01-29,Davis Group,GMC,Savana 1500,2020,Red,66640,Luxury
106,2023-03-23,"Pfannerstill, Paucek and Macejkovic",Audi,V8,2019,Aquamarine,80686,Sports
107,2023-03-30,MacGyver Group,Chrysler,PT Cruiser,2016,Fuscia,66787,Budget
108,2023-05-03,Gottlieb Inc,Ford,Crown Victoria,2014,Fuscia,87654,Economy
109,2023-01-14,Olson-Berge,Hyundai,Accent,2011,Teal,35337,Budget
110,2023-03-04,Conroy Group,Ford,Ranger,2018,Violet,47027,Luxury
111,2022-12-06,O'Hara Group,Mazda,B-Series,2017,Teal,78650,Budget
112,2023-01-21,Wintheiser and Sons,Mazda,RX-8,2019,Turquoise,73080,Budget
113,2022-11-29,"Crona, Schuster and Wilkinson",GMC,Sierra 3500,2012,Indigo,42697,Luxury
114,2022-11-21,Wisozk-Oberbrunner,GMC,Sierra 1500,2013,Violet,53342,Sports
115,2023-03-29,Schuppe Inc,Lexus,SC,2019,Maroon,95999,Luxury
116,2023-03-12,Friesen Group,Mitsubishi,Galant,2022,Indigo,24991,Sports
117,2023-02-28,Bayer Inc,Volvo,960,2012,Green,23880,Luxury
118,2023-01-09,"Quigley, Reinger and Rice",Chevrolet,Suburban 1500,2021,Puce,68843,Budget
119,2023-01-08,"Crist, Huels and Wyman",Ford,F250,2013,Pink,30406,Off-Road
120,2023-03-19,"Crooks, Kozey and Pfannerstill",GMC,Safari,2021,Aquamarine,59824,Budget
121,2023-02-02,"Cruickshank, Wiegand and Hackett",Pontiac,LeMans,2012,Aquamarine,39839,Budget
122,2023-02-20,McGlynn-Bartoletti,Buick,Park Avenue,2018,Orange,86141,Budget
123,2022-12-30,Reichert-Oberbrunner,Mitsubishi,Eclipse,2010,Orange,74135,Luxury
124,2023-01-16,"Lakin, Mohr and Trantow",Mercedes-Benz,E-Class,2012,Red,89630,Off-Road
125,2023-01-06,"Feeney, Carroll and Lockman",Audi,A4,2013,Purple,84667,Budget
126,2023-01-23,"Weber, Dare and Leuschke",Ford,Country,2012,Crimson,29956,Off-Road
127,2023-01-29,"Williamson, Grady and Cummerata",Mitsubishi,Truck,2021,Yellow,85665,Sports
128,2023-01-14,Donnelly-Daugherty,Mitsubishi,3000GT,2012,Green,93385,Luxury
129,2023-01-20,"Hayes, Lesch and Turner",Volkswagen,Touareg,2022,Puce,18989,Economy
130,2022-12-15,Gerlach-Kozey,Mitsubishi,Challenger,2022,Turquoise,48039,Luxury
131,2023-04-29,"Hettinger, Koepp and Turner",Land Rover,Freelander,2010,Maroon,53635,Economy
132,2023-02-14,Cummings-Moore,Mercedes-Benz,W126,2015,Indigo,23466,Sports
133,2023-04-04,"Abbott, Goldner and Mitchell",Pontiac,Grand Am,2015,Blue,73031,Luxury
134,2023-01-03,"Barrows, Bernhard and Murazik",Toyota,Prius,2010,Maroon,62359,Luxury
135,2023-03-04,McKenzie Group,Ford,Focus,2010,Yellow,92209,Off-Road
136,2023-03-29,"Maggio, Maggio and Mann",Mercedes-Benz,CL65 AMG,2013,Puce,12597,Budget
137,2023-02-10,"Robel, Considine and Steuber",Buick,Skylark,2017,Turquoise,28596,Off-Road
138,2022-12-15,Volkman Inc,Mercury,Grand Marquis,2010,Indigo,23819,Off-Road
139,2023-04-27,Bahringer-Anderson,Bentley,Continental GTC,2014,Violet,46728,Luxury
140,2023-04-30,Veum Group,Dodge,Ram 1500,2020,Blue,67183,Off-Road
141,2023-01-27,Schulist and Sons,GMC,Suburban 1500,2021,Khaki,29371,Economy
142,2023-03-20,"Moen, Swift and Harris",Mercury,Tracer,2011,Fuscia,18716,Sports
143,2022-11-16,Leffler Inc,Chevrolet,Silverado 2500,2015,Fuscia,78796,Luxury
144,2023-04-23,Ullrich LLC,Mercedes-Benz,C-Class,2012,Maroon,70173,Luxury
145,2022-11-22,"Ferry, Mante and Cormier",Chevrolet,Corvette,2023,Orange,57064,Sports
146,2023-02-09,Lindgren-Kessler,Dodge,Avenger,2019,Aquamarine,24583,Budget
147,2023-01-27,Kunde Group,GMC,Savana 1500,2012,Red,11611,Luxury
148,2023-03-17,Parker-Kautzer,Suzuki,Esteem,2023,Mauv,50472,Sports
149,2023-03-19,Haag-Kertzmann,Honda,Accord,2017,Purple,29777,Economy
150,2022-12-13,"Lockman, Pacocha and Berge",Chevrolet,Tracker,2015,Crimson,39473,Luxury
151,2022-11-29,Wunsch Group,Saab,9000,2016,Blue,57868,Sports
152,2023-04-22,Carter LLC,Cadillac,CTS-V,2010,Green,82815,Off-Road
153,2023-02-26,"Terry, Hudson and Jast",Chevrolet,Impala,2015,Goldenrod,11621,Sports
154,2023-02-23,Schmidt LLC,Toyota,4Runner,2017,Teal,40280,Sports
155,2022-12-17,"Stoltenberg, Rodriguez and Prohaska",Mitsubishi,Pajero,2019,Maroon,70309,Off-Road
156,2023-02-07,White LLC,Maserati,Spyder,2021,Aquamarine,23434,Economy
157,2022-12-15,White LLC,Jeep,Wrangler,2011,Blue,38276,Luxury
158,2023-01-30,"Grant, Robel and Reynolds",Cadillac,Escalade,2010,Purple,93637,Economy
159,2023-02-24,"Waelchi, Beahan and McLaughlin",Hyundai,Santa Fe,2012,Khaki,18460,Off-Road
160,2023-04-15,Gusikowski and Sons,Saab,9-5,2010,Indigo,83341,Off-Road
161,2023-04-21,Fahey-Buckridge,Ford,F-Series Super Duty,2020,Khaki,25643,Sports
162,2023-01-16,Shanahan-Wiza,Acura,NSX,2012,Orange,37611,Luxury
163,2023-04-27,"Lubowitz, Terry and Grady",Acura,RL,2018,Orange,18366,Sports
164,2023-02-19,Wolff and Sons,Scion,xD,2021,Puce,52916,Luxury
165,2023-03-29,"Funk, Kling and Hackett",BMW,M3,2012,Violet,78691,Sports
166,2023-01-27,Koelpin-Kessler,Mitsubishi,Montero,2012,Puce,14870,Luxury
167,2023-02-17,Rippin-Rowe,Acura,RL,2020,Green,31975,Sports
168,2023-04-29,Leffler-Thiel,Maybach,62,2012,Crimson,17938,Economy
169,2023-03-16,Kling and Sons,Chrysler,Sebring,2015,Green,78198,Budget
170,2022-12-23,Bergnaum-Goldner,Saab,900,2013,Blue,66121,Budget
171,2023-04-10,"Kuvalis, Carter and Schinner",Ford,Econoline E250,2012,Crimson,41889,Budget
172,2023-04-28,Bartell-Ruecker,Chevrolet,Venture,2013,Maroon,11698,Economy
173,2022-11-28,Emard LLC,Volvo,S60,2022,Aquamarine,11813,Economy
174,2022-12-16,Quitzon LLC,Toyota,Highlander,2019,Green,16389,Sports
175,2023-04-08,Ward-Mante,Tesla,Roadster,2011,Goldenrod,61763,Sports
176,2023-02-05,Marks Inc,Mitsubishi,Truck,2010,Goldenrod,77676,Sports
177,2023-01-12,Mann Group,Chevrolet,Tahoe,2017,Teal,13544,Economy
178,2022-12-14,Kilback LLC,Chevrolet,Cobalt,2023,Blue,18235,Off-Road
179,2023-03-19,"Ziemann, Walter and Shields",BMW,X5 M,2013,Orange,84838,Off-Road
180,2023-01-13,"Dickens, Stanton and Borer",Ford,Thunderbird,2012,Teal,22764,Sports
181,2023-03-20,Rohan-Mitchell,Buick,Riviera,2015,Blue,38335,Budget
182,2023-03-11,Rutherford LLC,GMC,Savana,2014,Pink,45222,Luxury
183,2023-01-01,"Lakin, Dare and Armstrong",Lexus,RX Hybrid,2012,Violet,44743,Luxury
184,2023-02-23,Langworth-Murray,Chevrolet,Astro,2011,Green,22659,Luxury
185,2023-01-04,Cole-Heaney,Jaguar,XJ Series,2022,Maroon,41416,Off-Road
186,2022-12-08,"Leannon, Bashirian and Klein",Ford,Freestar,2023,Teal,57977,Sports
187,2023-01-07,"Lang, Anderson and Rath",BMW,6 Series,2015,Maroon,92367,Luxury
188,2023-01-16,Lowe-Crona,Nissan,Maxima,2020,Blue,55112,Luxury
189,2022-12-22,Bode and Sons,Acura,RL,2023,Red,12117,Luxury
190,2022-12-16,Swift-Bradtke,Mitsubishi,Outlander Sport,2011,Pink,37566,Sports
191,2023-01-13,"Harris, Wintheiser and Johnston",Suzuki,Samurai,2020,Purple,20795,Off-Road
192,2023-01-03,"Bins, Morar and Gerhold",Dodge,D250 Club,2013,Blue,18942,Sports
193,2023-03-23,"Murphy, Fahey and Carroll",Mercedes-Benz,SL-Class,2018,Maroon,64244,Off-Road
194,2023-05-01,Hamill Inc,Audi,4000,2014,Goldenrod,34514,Off-Road
195,2023-05-10,Witting-Mraz,Mitsubishi,Montero,2011,Yellow,78766,Sports
196,2023-02-17,Hermann-Shields,Mercedes-Benz,W201,2011,Puce,68522,Luxury
197,2023-04-29,Turcotte Group,Daewoo,Nubira,2013,Aquamarine,94423,Luxury
198,2023-03-19,D'Amore-Harber,BMW,330,2020,Teal,61184,Sports
199,2023-03-22,"Kub, Goodwin and Lockman",Cadillac,Escalade ESV,2010,Orange,96719,Economy
200,2023-03-31,"Dibbert, Koepp and Abernathy",Ford,E350,2014,Blue,66769,Luxury
201,2022-12-04,Paucek and Sons,Chevrolet,Vega,2022,Turquoise,25463,Economy
202,2023-01-02,Renner Inc,GMC,Savana,2010,Goldenrod,97668,Budget
203,2022-12-19,Cummerata-Baumbach,Saab,9-5,2010,Fuscia,39727,Sports
204,2023-03-26,Jacobi Inc,Infiniti,G35,2019,Khaki,34031,Economy
205,2023-04-29,Buckridge Group,Porsche,911,2014,Red,93439,Budget
206,2023-05-08,Hayes-Hauck,Dodge,Stratus,2019,Mauv,67009,Off-Road
207,2023-03-14,Cruickshank-Purdy,Mercedes-Benz,W201,2015,Turquoise,30028,Off-Road
208,2023-01-21,Parisian Group,Saab,9-2X,2010,Goldenrod,17309,Sports
209,2022-11-15,"Rice, Mante and MacGyver",Volvo,XC70,2011,Blue,70403,Luxury
210,2023-03-11,Turner-Gislason,Mercedes-Benz,M-Class,2015,Teal,73933,Economy
211,2023-03-08,"Yundt, Luettgen and Bruen",Ford,Freestyle,2019,Khaki,41023,Off-Road
212,2022-11-24,Fisher-Tremblay,Ford,Ranger,2013,Maroon,44027,Luxury
213,2022-12-07,"Simonis, Satterfield and Schuster",Toyota,RAV4,2010,Violet,71160,Sports
214,2022-11-27,"Wintheiser, Graham and Osinski",Dodge,Stratus,2020,Puce,93679,Luxury
215,2023-03-04,Mayer-Torphy,Toyota,T100,2022,Yellow,39017,Budget
216,2023-05-13,Daugherty-Hayes,Volkswagen,GTI,2021,Crimson,94348,Economy
217,2023-03-03,Walter Inc,Mercedes-Benz,R-Class,2020,Mauv,89301,Budget
218,2023-02-16,Lehner Inc,BMW,Alpina B7,2012,Yellow,31548,Luxury
219,2023-04-25,Borer Group,Pontiac,6000,2014,Pink,93046,Luxury
220,2023-02-21,Armstrong-Corkery,Volkswagen,Type 2,2012,Crimson,92617,Luxury
221,2022-11-19,Goldner-Morar,Ford,E350,2014,Mauv,67674,Economy
222,2023-03-31,Rolfson Group,Toyota,Corolla,2010,Goldenrod,61194,Off-Road
223,2022-12-27,"Koelpin, Wilkinson and Gorczany",Audi,A8,2011,Goldenrod,40868,Economy
224,2022-12-23,Dare LLC,Hyundai,Sonata,2019,Crimson,97050,Budget
225,2022-11-25,Botsford-Block,Dodge,Ram 3500,2018,Indigo,65977,Economy
226,2023-02-16,Goodwin Inc,Acura,Integra,2010,Khaki,35621,Economy
227,2023-01-02,Ledner-Goodwin,Lexus,LX,2017,Aquamarine,36172,Off-Road
228,2023-03-21,Harber-Fadel,Mercedes-Benz,SLK-Class,2023,Green,59433,Off-Road
229,2023-04-14,Lueilwitz-Bechtelar,GMC,Jimmy,2019,Maroon,11321,Budget
230,2023-02-21,"Schoen, Harris and Spinka",Acura,RL,2022,Crimson,81248,Sports
231,2022-12-18,"Hoppe, Murphy and MacGyver",Mercedes-Benz,CL-Class,2021,Teal,14948,Economy
232,2023-05-09,Kovacek Group,Subaru,Legacy,2021,Aquamarine,65128,Luxury
233,2022-12-05,Macejkovic Group,Mercury,Sable,2014,Crimson,13303,Budget
234,2023-03-21,Batz LLC,Chevrolet,Corvette,2012,Goldenrod,91553,Economy
235,2023-04-27,"Altenwerth, White and Kessler",Kia,Rio,2013,Pink,97499,Luxury
236,2023-03-16,Mitchell Inc,Kia,Rondo,2010,Teal,22247,Sports
237,2022-11-29,"Berge, Fay and Hahn",Chrysler,Pacifica,2019,Goldenrod,80459,Sports
238,2023-01-23,"Schuppe, Hand and Tromp",Isuzu,Stylus,2020,Purple,81095,Sports
239,2023-02-04,Casper Group,BMW,7 Series,2012,Turquoise,91373,Off-Road
240,2023-02-21,"Fay, Adams and Metz",GMC,Vandura 1500,2011,Green,28456,Off-Road
241,2023-04-20,Kris-Metz,BMW,M5,2010,Khaki,90860,Off-Road
242,2023-03-20,Carter-Kirlin,Nissan,Maxima,2018,Green,38635,Budget
243,2023-05-06,Farrell-Carroll,GMC,Sierra 3500,2023,Khaki,91013,Luxury
244,2022-12-08,Dach-Schuppe,GMC,Terrain,2011,Crimson,15694,Luxury
245,2023-01-27,"Hegmann, Purdy and Reichel",Kia,Sephia,2022,Purple,77031,Off-Road
246,2022-12-04,Maggio-Krajcik,Hummer,H2,2013,Khaki,98493,Off-Road
247,2022-12-28,Zboncak-Wiegand,Chevrolet,Express 3500,2022,Purple,84603,Luxury
248,2022-12-16,Bernhard-Collins,Volkswagen,Rabbit,2023,Red,42954,Sports
249,2022-12-26,"Maggio, Jenkins and Windler",Ford,Festiva,2021,Turquoise,28310,Off-Road
250,2023-04-18,Schultz and Sons,Toyota,4Runner,2018,Khaki,33816,Off-Road
251,2023-01-22,"Langosh, Glover and Kuphal",Oldsmobile,Bravada,2010,Goldenrod,75152,Budget
252,2022-11-16,Reichel-Franecki,Toyota,RAV4,2013,Mauv,22402,Sports
253,2023-03-01,Thompson Inc,Dodge,Durango,2019,Aquamarine,34522,Off-Road
254,2023-04-20,"Gerhold, Wisoky and Cole",Chevrolet,Tahoe,2010,Turquoise,37456,Budget
255,2023-04-27,Bergstrom-Wiza,Mazda,MPV,2017,Violet,72607,Luxury
256,2023-02-14,"Corwin, Bruen and Brakus",BMW,530,2021,Crimson,43333,Off-Road
257,2022-11-29,"Pacocha, Toy and Wiegand",Dodge,Ram 1500 Club,2023,Crimson,49510,Luxury
258,2022-11-27,"Rath, Shields and Koepp",Mercedes-Benz,E-Class,2022,Blue,19548,Economy
259,2023-02-07,Braun Group,Volkswagen,Passat,2017,Goldenrod,68542,Sports
260,2022-12-12,"Zemlak, Kris and Hagenes",Infiniti,Q,2021,Pink,10783,Sports
261,2023-05-13,"Feil, Ondricka and Grimes",Mazda,B-Series Plus,2017,Orange,99492,Sports
262,2023-01-23,Stanton Group,Mercury,Villager,2023,Green,15469,Luxury
263,2022-11-30,"Kerluke, Lindgren and Stokes",Subaru,Baja,2010,Blue,99685,Budget
264,2022-12-05,"Breitenberg, Metz and Russel",Mazda,MX-3,2014,Pink,50896,Off-Road
265,2023-04-22,Hansen-Brakus,Hyundai,Genesis Coupe,2010,Crimson,35315,Budget
266,2023-04-15,"Hintz, Jenkins and Satterfield",Pontiac,Grand Prix,2014,Blue,79485,Off-Road
267,2023-04-28,Nitzsche LLC,Chevrolet,Suburban 2500,2017,Red,39855,Off-Road
268,2023-03-21,Bahringer-Blanda,Jeep,Cherokee,2018,Violet,46558,Budget
269,2023-01-31,Rath Inc,Lotus,Esprit,2019,Purple,64971,Economy
270,2023-03-11,"Cummings, Orn and Jakubowski",Acura,MDX,2012,Aquamarine,93871,Luxury
271,2023-02-27,Kuvalis-Quigley,Hyundai,Accent,2022,Puce,66787,Budget
272,2022-11-15,Schneider LLC,Buick,Skylark,2019,Indigo,76569,Economy
273,2023-03-24,"Mohr, Mraz and Turner",Toyota,T100 Xtra,2016,Purple,69240,Sports
274,2023-04-23,"Schimmel, Koch and Torphy",GMC,Envoy XL,2022,Yellow,77388,Sports
275,2023-04-15,"Marks, Rau and Price",Mercury,Cougar,2010,Purple,84020,Economy
276,2022-12-23,Metz Inc,Mazda,Miata MX-5,2014,Violet,98003,Sports
277,2023-05-12,"Dicki, Ondricka and Hoppe",Nissan,Rogue,2012,Orange,38920,Luxury
278,2023-03-09,Rowe Group,Ford,Thunderbird,2011,Violet,39451,Off-Road
279,2023-01-04,"O'Reilly, Jakubowski and Luettgen",Mitsubishi,Eclipse,2011,Red,12795,Budget
280,2023-04-19,D'Amore and Sons,Jaguar,XJ Series,2012,Maroon,85801,Sports
281,2022-12-09,Homenick-Okuneva,Lincoln,Continental,2016,Violet,48156,Economy
282,2023-03-25,Herzog-Gulgowski,Mitsubishi,Mighty Max,2019,Orange,12592,Budget
283,2022-12-03,Lockman LLC,Ford,Probe,2023,Crimson,94305,Economy
284,2022-11-30,Waters-Beatty,Chevrolet,SSR,2015,Khaki,36027,Luxury
285,2023-03-29,Stroman-Tremblay,Pontiac,Vibe,2012,Fuscia,62139,Sports
286,2023-02-09,Gerlach LLC,Nissan,Sentra,2023,Red,60632,Off-Road
287,2023-03-09,Christiansen Group,Chevrolet,Suburban,2018,Maroon,41474,Luxury
288,2023-01-30,Bradtke-Beer,Acura,NSX,2021,Indigo,25997,Off-Road
289,2023-03-21,Hodkiewicz-Lockman,Ford,Expedition,2010,Teal,95946,Sports
290,2022-12-30,Kub-Leuschke,GMC,Vandura 2500,2014,Khaki,57076,Sports
291,2023-02-12,Schimmel Inc,Dodge,Ram 2500,2017,Aquamarine,26760,Luxury
292,2023-01-30,Nolan-Pfeffer,Ford,Contour,2015,Maroon,21061,Economy
293,2023-02-05,Wintheiser-Oberbrunner,Ford,E-Series,2015,Fuscia,26172,Sports
294,2022-11-16,Gibson Inc,Mercedes-Benz,SLK-Class,2011,Maroon,79464,Budget
295,2022-12-15,Smith-Towne,Acura,RL,2014,Indigo,56019,Off-Road
296,2023-03-10,Mitchell Inc,Pontiac,Trans Sport,2021,Indigo,62481,Economy
297,2023-01-25,Johns-Hills,Audi,200,2020,Goldenrod,87590,Off-Road
298,2022-11-17,Fay Inc,Chevrolet,Tahoe,2012,Fuscia,11458,Economy
