id,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price
62,2023-05-01,"Ward, Ondricka and Davis",Audi,TT,2002,Purple,17008
63,2021-11-08,Ebert-Koepp,Audi,TT,2010,Pink,21040
64,2020-04-04,Balistreri Group,Isuzu,VehiCROSS,2001,Red,50848
65,2021-02-10,Bernhard-Bradtke,Lincoln,Continental Mark VII,1989,Indigo,63254
66,2019-08-25,Kub and Sons,Cadillac,Seville,1999,Green,95829
67,2020-07-19,Schiller-Denesik,Subaru,SVX,1993,Pink,79036
68,2022-05-22,"Koepp, Franecki and Heller",Cadillac,Escalade ESV,2012,Goldenrod,42129
69,2020-07-20,Carter-Crooks,Volvo,S60,2005,Indigo,47472
70,2023-03-28,Krajcik-Mayer,Oldsmobile,Alero,2002,Khaki,76810
71,2018-08-27,O'Keefe Group,Lexus,GX,2009,Yellow,34002
72,2020-03-28,Adams Group,Mercury,Sable,2003,Violet,75910
73,2019-05-19,Dibbert LLC,Lotus,Exige,2007,Green,65642
74,2020-04-27,Wehner-Heathcote,BMW,3 Series,2009,Purple,82690
75,2022-07-26,Crist-Mosciski,Toyota,T100 Xtra,1995,Maroon,62246
76,2019-08-20,Orn and Sons,Toyota,Corolla,1997,Green,57020
77,2023-03-13,Hintz LLC,Chevrolet,Tracker,2002,Orange,75220
78,2020-02-12,"Lebsack, Ernser and Harvey",Pontiac,Vibe,2008,Blue,12458
79,2021-10-25,Rohan Inc,Cadillac,Escalade,2002,Turquoise,89401
80,2021-05-25,Ziemann Group,Toyota,Tacoma Xtra,1996,Teal,10573
81,2022-02-22,"Harris, Towne and Ondricka",Mercury,Villager,1994,Purple,62927
82,2019-05-08,"Gibson, Wiza and Price",GMC,Savana 1500,2002,Crimson,72708
83,2021-05-02,Lubowitz LLC,Mitsubishi,Outlander Sport,2011,Green,41322
84,2021-03-09,"Lockman, Gorczany and Beahan",Audi,A8,2006,Blue,70775
85,2020-10-08,Batz Group,Mitsubishi,Galant,2005,Fuscia,40059
86,2018-08-01,"Carroll, Renner and Bosco",Suzuki,SX4,2010,Orange,91536
87,2020-05-21,"Lehner, Batz and Barton",Hyundai,Santa Fe,2009,Purple,29431
88,2023-04-07,Hodkiewicz Inc,Mitsubishi,GTO,1995,Crimson,43813
89,2020-02-04,Windler and Sons,Mazda,Mazda6,2009,Crimson,47040
90,2022-03-22,"Larkin, Ernser and Murphy",Chevrolet,Express 1500,2001,Crimson,25006
91,2023-04-23,Bergnaum-Ebert,Audi,A6,2011,Goldenrod,58064
92,2019-07-24,Johns Group,Ford,Mustang,2003,Goldenrod,97198
93,2018-09-24,Wehner and Sons,Chevrolet,Suburban 2500,1992,Turquoise,61926
94,2022-06-22,"Ebert, Quigley and Collins",GMC,Sierra 2500,2001,Pink,71421
95,2020-08-16,Boehm-Marks,Dodge,Sprinter,2009,Puce,23698
96,2020-10-18,"Raynor, Heathcote and Barrows",Mitsubishi,Pajero,2001,Teal,13608
97,2021-01-06,"Daugherty, Grant and Ortiz",Toyota,MR2,1987,Blue,71718
98,2018-06-03,"Roberts, Glover and Koelpin",Mitsubishi,Mirage,1985,Turquoise,69441
99,2018-04-24,Hagenes LLC,BMW,M Roadster,2007,Purple,22003
100,2022-12-15,"Turcotte, Schaden and Kuhic",Ford,F150,2010,Mauv,99336
101,2019-02-21,Jast Group,Mercury,Tracer,1999,Puce,83586
102,2019-11-18,Ward-Goyette,GMC,Jimmy,1995,Violet,38077
103,2022-09-12,"Wolff, Heaney and Herman",Scion,xB,2006,Orange,89515
104,2018-02-04,Medhurst and Sons,Chevrolet,Camaro,2011,Red,87924
105,2021-05-15,Padberg LLC,Dodge,Durango,2006,Fuscia,83196
106,2019-02-23,Cronin Inc,Volkswagen,Scirocco,1987,Pink,56210
107,2021-12-26,Heller Group,Audi,S6,2009,Orange,41633
108,2021-08-20,Koch and Sons,Chrysler,PT Cruiser,2003,Puce,65892
109,2022-08-07,Cummings Inc,Toyota,Corolla,1993,Puce,59497
110,2022-12-21,"Feeney, Nader and Schaefer",Chevrolet,Express 1500,2008,Puce,55382
111,2018-09-23,"Gusikowski, Strosin and Hills",Mazda,RX-7,1995,Pink,40458
112,2020-11-17,Shanahan-Heller,Chevrolet,Lumina,2001,Goldenrod,42541
113,2021-10-10,"Zieme, Hamill and Goyette",Mercedes-Benz,SLR McLaren,2009,Teal,91005
114,2021-12-30,Deckow-Schowalter,Ford,LTD Crown Victoria,1987,Mauv,35698
115,2022-05-16,Erdman-Ferry,GMC,Savana 3500,2002,Goldenrod,28123
116,2018-06-04,Lakin-Sawayn,Chevrolet,Silverado 2500,2010,Goldenrod,39247
117,2022-07-04,Murray-Kling,Cadillac,STS,2005,Khaki,10561
118,2020-04-07,"Zulauf, Bailey and Schoen",Mazda,MX-6,1996,Red,15135
119,2018-06-05,Boehm Group,Mazda,B-Series,2006,Purple,31348
120,2020-02-21,"Schaefer, Kshlerin and Bergnaum",Chevrolet,Suburban 1500,2011,Violet,84392
121,2020-06-12,"Zulauf, Kohler and Klocko",Audi,Q5,2010,Maroon,23817
122,2021-09-07,Schiller and Sons,Lincoln,Continental,1998,Turquoise,60807
123,2021-11-01,"Lind, Mosciski and Walsh",Saturn,Ion,2003,Yellow,80379
124,2021-11-12,Casper-Deckow,Mazda,RX-8,2004,Yellow,61834
125,2018-05-25,Yost Inc,Jaguar,XJ Series,1995,Aquamarine,90631
126,2022-01-16,Stiedemann Inc,Dodge,Dakota Club,1998,Yellow,79066
127,2022-07-18,Green Group,Hyundai,Accent,1997,Yellow,91777
128,2021-01-30,"Stanton, Sipes and Dicki",Mercury,Mountaineer,2005,Crimson,54243
129,2019-10-24,"Conn, Wuckert and Toy",Chevrolet,Silverado 1500,2011,Maroon,53993
130,2023-04-21,"Lynch, Gorczany and Stroman",Mercedes-Benz,G55 AMG,2006,Khaki,94839
131,2019-12-30,Schinner-Dibbert,Mercedes-Benz,300CE,1992,Teal,17407
132,2018-10-02,Larkin Inc,Ford,F350,2005,Turquoise,16097
133,2019-01-03,"Kuvalis, Williamson and Murazik",Chevrolet,Traverse,2012,Aquamarine,56857
134,2019-04-08,"Brown, Christiansen and White",Buick,Skylark,1990,Mauv,21592
135,2021-09-30,Ullrich-Ward,Chevrolet,1500,1999,Purple,12449
136,2020-12-17,"Miller, Metz and Tremblay",Saturn,S-Series,1997,Blue,26324
137,2022-10-04,"Gorczany, Zemlak and Quigley",Mercedes-Benz,E-Class,1992,Mauv,47714
138,2022-07-08,"Gutkowski, Mills and Altenwerth",Dodge,Journey,2010,Turquoise,78744
139,2019-05-04,"Homenick, Kohler and Bergstrom",Volkswagen,GTI,1989,Crimson,46171
140,2022-12-27,Wyman Inc,BMW,3 Series,2002,Purple,91096
141,2021-12-10,Corwin-Wuckert,Hyundai,Elantra,2002,Green,80534
142,2021-03-12,"Baumbach, Mayer and Balistreri",Dodge,Dakota Club,2002,Orange,78021
143,2021-04-17,"Nitzsche, Huels and Pacocha",Dodge,Ram 2500 Club,1997,Violet,69597
144,2022-09-15,Romaguera-Lowe,Cadillac,CTS-V,2011,Pink,98598
145,2022-10-31,"Prosacco, Mosciski and Ebert",Chevrolet,Express 2500,2001,Blue,49596
146,2021-01-23,"Reilly, Stanton and Zboncak",Chevrolet,Express 2500,1998,Puce,43602
147,2022-07-14,Zboncak-Tillman,Kia,Sportage,2011,Pink,58759
148,2022-06-03,Schmitt LLC,Buick,Rendezvous,2006,Puce,12124
149,2018-09-18,"Kassulke, Weissnat and Gerlach",Audi,S4,2008,Puce,42068
150,2019-12-03,Auer and Sons,Toyota,4Runner,1999,Khaki,51019
151,2021-06-11,"Schultz, Okuneva and Hilpert",Mitsubishi,Pajero,1988,Khaki,93117
152,2018-07-05,Ullrich-Auer,Ford,Festiva,1988,Green,12300
153,2019-04-22,Mertz LLC,Honda,CR-Z,2012,Purple,26855
154,2021-11-02,Yost-Waters,Geo,Prizm,1993,Violet,52521
155,2020-07-10,Schinner Inc,Ford,Excursion,2002,Red,73698
156,2020-11-02,Bogan LLC,Scion,tC,2008,Pink,70260
157,2020-07-08,"Roob, Langosh and O'Reilly",Porsche,968,1995,Puce,52362
158,2018-03-08,"Shanahan, Botsford and Boyer",BMW,X6,2011,Maroon,82642
159,2021-05-30,Nikolaus-Bartell,Isuzu,Rodeo,2004,Khaki,51398
160,2022-10-09,"Greenholt, Fritsch and Heathcote",Buick,LeSabre,1986,Yellow,37133
161,2020-03-19,Larkin-Fritsch,Infiniti,Q,2001,Indigo,18378
162,2021-09-25,Moore-Bartoletti,Ford,Ranger,1988,Fuscia,53892
163,2018-09-04,Ebert-Becker,Mercury,Lynx,1985,Puce,15272
164,2019-09-07,Beatty-Labadie,Saab,900,1996,Purple,75409
165,2023-01-16,Boehm-Krajcik,Nissan,Maxima,1997,Purple,42164
166,2023-03-03,Deckow-Dietrich,Volkswagen,Cabriolet,1993,Pink,77889
167,2019-09-21,"Bartell, Mitchell and Grimes",Toyota,Tercel,1992,Mauv,90494
168,2023-03-07,Schulist Group,BMW,745,2005,Green,66407
169,2022-05-12,"Parker, Walsh and Pfannerstill",Mitsubishi,Endeavor,2010,Maroon,26334
170,2021-10-17,Ernser and Sons,Lexus,LS,1991,Mauv,33588
171,2018-05-01,Senger-Murazik,Ford,E-Series,1990,Green,48128
172,2019-07-23,"Mayer, Schultz and Mueller",Mitsubishi,Lancer Evolution,2002,Blue,85798
173,2020-08-31,"Cruickshank, Champlin and Kuhlman",BMW,X6 M,2013,Pink,19564
174,2018-01-13,Koelpin-Ritchie,Toyota,Echo,2002,Violet,62340
175,2019-04-21,Klein-Hilll,Lexus,LS,1997,Crimson,39683
176,2020-05-13,"Labadie, Gulgowski and Mante",Ford,Ranger,2006,Green,71547
177,2019-08-31,Herzog-Shanahan,Hyundai,Accent,2000,Blue,82010
178,2021-03-07,Waters Inc,GMC,Savana,2011,Violet,34628
179,2020-02-05,Hermiston LLC,Nissan,Altima,1997,Maroon,39692
180,2018-07-13,Stanton Group,Ford,Probe,1996,Aquamarine,73279
181,2020-03-04,"Schumm, Lehner and Treutel",Lamborghini,Murciélago,2002,Fuscia,21258
182,2020-11-14,"West, Klein and Harber",Ford,Bronco,1992,Turquoise,28598
183,2022-10-31,"Smith, Bergnaum and Wolff",Infiniti,Q,2002,Violet,30712
184,2023-04-24,"Schoen, Blick and Wilderman",Isuzu,Rodeo,2004,Teal,39746
185,2019-09-29,Watsica Inc,GMC,Sierra 1500,2010,Violet,43160
186,2018-01-22,O'Reilly-Block,Lamborghini,Countach,1990,Green,47792
187,2019-04-16,"Hettinger, Bernhard and Zieme",Toyota,Matrix,2007,Fuscia,44181
188,2022-12-15,Krajcik-Bogisich,Buick,Regal,1989,Green,95092
189,2020-09-13,Goldner LLC,Cadillac,DTS,2011,Teal,53947
190,2018-05-08,Hessel and Sons,Mercedes-Benz,300SE,1992,Khaki,31672
191,2021-10-17,"Mante, Gottlieb and Streich",Lexus,RX,2006,Purple,13454
192,2022-01-30,"Ruecker, Rolfson and Connelly",Mitsubishi,Tredia,1988,Indigo,48212
193,2018-12-07,Effertz-Ward,Ford,Crown Victoria,1999,Indigo,20390
194,2022-01-01,"Bahringer, Monahan and Heller",Subaru,Forester,1999,Mauv,50790
195,2020-06-24,Mueller-Willms,Ford,Freestar,2006,Violet,18233
196,2022-12-13,Langosh Inc,Porsche,911,1988,Crimson,68905
197,2023-02-22,Wisozk and Sons,Chevrolet,Caprice,1992,Pink,47103
198,2021-12-13,Feil Group,Isuzu,Trooper,1993,Crimson,74012
199,2022-10-16,Blanda Group,Land Rover,Freelander,2010,Pink,40871
200,2022-05-24,King Inc,Audi,riolet,1995,Blue,95167
201,2018-02-13,Luettgen-Yost,Pontiac,Sunbird,1992,Goldenrod,49596
202,2019-01-09,Bailey-Dach,Nissan,Maxima,2005,Puce,16565
203,2022-07-16,Funk-Collins,GMC,Safari,1993,Red,34642
204,2020-06-14,Yost Group,Cadillac,Eldorado,2002,Yellow,71303
205,2020-08-23,"McLaughlin, Hauck and Swaniawski",Aston Martin,DB9,2006,Goldenrod,74454
206,2021-04-09,Larkin-Corkery,Ford,Econoline E250,1998,Goldenrod,49584
207,2020-04-24,Shanahan-Towne,Infiniti,G25,2012,Fuscia,36319
208,2022-11-18,"Tremblay, Heller and Auer",Dodge,Charger,1999,Mauv,56175
209,2019-12-25,"Kuphal, Christiansen and Harber",Dodge,Caravan,2012,Fuscia,71366
210,2020-10-30,Cummings Inc,Cadillac,XLR-V,2006,Aquamarine,69209
211,2019-11-21,Tromp Group,Mitsubishi,Truck,1990,Pink,69881
212,2019-11-26,Hodkiewicz Inc,Infiniti,QX56,2007,Turquoise,40999
213,2019-11-19,Rolfson Inc,Chevrolet,Equinox,2006,Khaki,71406
214,2022-10-19,"Johnston, Wolff and Heaney",Subaru,Justy,1988,Teal,91419
215,2021-07-15,Bosco-Dare,Porsche,Cayenne,2006,Mauv,53525
216,2021-02-23,Watsica-Pagac,Buick,Riviera,1991,Purple,85592
217,2022-03-29,Wiegand and Sons,Jeep,Cherokee,1995,Red,95017
218,2023-02-13,Hyatt Group,Oldsmobile,Ciera,1996,Fuscia,99608
219,2022-10-07,"Schultz, Strosin and Dickinson",Mazda,MX-6,1991,Pink,33849
220,2019-03-27,Fay Inc,Chevrolet,Caprice,1994,Crimson,18931
221,2018-09-30,Bednar and Sons,Ford,E250,2007,Orange,50805
222,2018-11-05,"Moore, Waters and Schamberger",Hyundai,Sonata,1992,Teal,33199
223,2019-04-09,Witting LLC,Ford,F250,2007,Mauv,96473
224,2021-01-16,Morar and Sons,Subaru,Loyale,1994,Fuscia,34613
225,2021-03-24,Toy Inc,Chrysler,300,2010,Aquamarine,47165
226,2018-11-06,"Tremblay, Kemmer and MacGyver",Audi,S4,2001,Mauv,28247
227,2020-11-26,Mann and Sons,Nissan,240SX,1995,Teal,48538
228,2018-02-14,Bosco Group,Saturn,S-Series,1996,Teal,40863
229,2020-07-23,Renner-Osinski,Ford,Courier,1986,Teal,45091
230,2020-03-15,Yundt-Lowe,Bentley,Azure,2006,Maroon,83616
231,2020-07-27,"O'Keefe, Grimes and Sanford",Nissan,Datsun/Nissan Z-car,1990,Puce,38792
232,2021-05-22,"Deckow, Streich and Ward",Pontiac,Grand Prix,1962,Aquamarine,27064
233,2019-11-10,"Nicolas, Koepp and Lemke",GMC,Sierra 3500,2009,Fuscia,29811
234,2019-09-07,Gutkowski-Marquardt,Lincoln,Navigator,2003,Fuscia,88864
235,2020-12-27,Leuschke LLC,Rolls-Royce,Phantom,2011,Indigo,58553
236,2018-08-12,Walsh LLC,Pontiac,Bonneville,1995,Teal,70723
237,2023-01-19,"Harvey, Kassulke and Hudson",Maybach,62,2005,Pink,53692
238,2020-11-11,Kertzmann Group,Mazda,MPV,1994,Purple,10170
239,2022-12-12,"Kunze, Schinner and Zemlak",Toyota,Solara,2002,Pink,96379
240,2020-12-30,"Swaniawski, Koss and Hegmann",Lexus,RX,2004,Puce,14258
241,2019-09-24,"Blanda, Runolfsdottir and Reilly",Infiniti,G,2005,Green,20039
242,2020-03-12,"Sauer, Moore and Osinski",Subaru,Outback,2001,Fuscia,99680
243,2020-01-11,"Bechtelar, Ferry and Balistreri",Toyota,T100 Xtra,1995,Red,86775
244,2020-08-24,Kuhn LLC,Lexus,CT,2012,Crimson,67553
245,2021-06-07,Johnson-Volkman,Porsche,911,2002,Orange,13731
246,2019-12-07,Kilback-Schiller,Pontiac,Grand Prix,2008,Puce,60309
247,2021-03-29,"Blanda, Kirlin and Hegmann",GMC,Yukon,2000,Goldenrod,91056
248,2018-09-05,"Nolan, Hoppe and Howell",Pontiac,GTO,1968,Crimson,21204
249,2018-12-07,Adams-Shanahan,GMC,Sierra 2500,2000,Maroon,30171
250,2023-02-08,Armstrong LLC,Volvo,960,1996,Crimson,45738
251,2018-12-16,Rowe-Botsford,Chevrolet,Aveo,2011,Crimson,31475
252,2018-10-04,Torp-Muller,Volkswagen,Quantum,1984,Turquoise,54841
253,2019-12-14,West-Reilly,Dodge,Intrepid,1999,Violet,24587
254,2018-08-07,"Graham, Nitzsche and Pollich",Chevrolet,Express 2500,1998,Khaki,74922
255,2018-05-11,Ernser LLC,Ford,E-Series,2005,Indigo,67819
256,2019-10-03,Zulauf Group,Cadillac,Catera,2000,Goldenrod,11102
257,2022-12-03,"Raynor, Goldner and Schowalter",Toyota,Corolla,2008,Aquamarine,53370
258,2018-04-20,"Greenholt, Lebsack and Heidenreich",Plymouth,Colt,1992,Blue,40006
259,2020-11-23,Strosin Inc,Infiniti,G,2001,Indigo,11540
260,2020-05-21,Ankunding Inc,Jeep,Wrangler,2002,Orange,53521
261,2018-04-17,"Price, Emard and Braun",Toyota,Sequoia,2011,Pink,25964
262,2021-04-26,"Murray, Hoeger and Funk",Nissan,Pathfinder,1997,Yellow,80672
263,2023-03-31,"Nikolaus, Ferry and Crooks",Cadillac,STS,2006,Purple,96434
264,2019-08-23,O'Kon and Sons,Ford,Bronco,1985,Indigo,60132
265,2022-11-18,Jaskolski-Murphy,Mercury,Villager,2000,Aquamarine,95646
266,2018-07-31,"Kassulke, Rodriguez and Lind",Audi,A8,2002,Violet,75670
267,2020-02-28,"Towne, Kuvalis and Auer",Ford,Fusion,2012,Khaki,32516
268,2018-09-19,Kemmer LLC,Ford,Mustang,1987,Fuscia,54434
269,2019-05-15,"Senger, Nader and Hayes",Isuzu,Rodeo,2003,Turquoise,91290
270,2020-03-19,Crooks Group,Chevrolet,Suburban 2500,1998,Fuscia,41995
271,2019-04-01,Larkin and Sons,Ford,F-Series,2001,Orange,99645
272,2018-12-21,Labadie Group,Buick,Century,1987,Maroon,61919
273,2022-03-17,Lynch Inc,Chevrolet,Equinox,2011,Yellow,85738
274,2019-01-13,Upton-Cremin,Infiniti,I,2001,Khaki,36742
275,2021-03-21,Mann-Bosco,BMW,3 Series,1992,Fuscia,19991
276,2023-04-02,Lehner Group,Volvo,XC70,2003,Turquoise,75327
277,2020-03-16,"Labadie, Larson and Vandervort",Volvo,S80,2000,Maroon,37106
278,2021-01-19,Armstrong Group,Toyota,Matrix,2005,Turquoise,16190
279,2022-04-08,Luettgen-Glover,Honda,Civic,1997,Aquamarine,50865
280,2019-08-04,McCullough-Runolfsson,Mercedes-Benz,S-Class,1998,Turquoise,78275
281,2022-10-01,Douglas-Kreiger,Lincoln,Town Car,1994,Violet,68608
282,2018-08-24,Pollich-Reichert,Ford,Bronco II,1988,Purple,75705
283,2019-02-21,Ferry-Schulist,Nissan,Armada,2006,Green,17875
284,2020-11-24,Mueller LLC,Lincoln,Continental Mark VII,1986,Green,64153
285,2018-11-27,"Treutel, Walsh and Hartmann",Hyundai,Santa Fe,2007,Puce,92585
286,2020-01-25,"Morissette, Volkman and Steuber",Subaru,Leone,1989,Indigo,46946
287,2021-02-11,"Kertzmann, Hand and Johns",Jaguar,S-Type,2007,Yellow,19145
288,2021-04-16,Davis-Hickle,Plymouth,Colt Vista,1993,Purple,66418
289,2019-01-07,Kuhic-Quitzon,Mazda,Mazda3,2009,Mauv,17241
290,2019-11-06,"Crooks, Reinger and Lehner",Honda,CR-V,2009,Khaki,56120
291,2022-12-10,"Corwin, Kassulke and Smith",Pontiac,Sunfire,1995,Orange,65853
292,2018-09-27,McGlynn-Feest,Toyota,Land Cruiser,1993,Indigo,12298
293,2018-05-23,"Murphy, Beier and Heller",Mitsubishi,Mirage,1989,Khaki,37733
294,2021-06-16,Roob-Kreiger,Honda,Accord,2012,Maroon,55529
295,2021-06-12,Mann and Sons,Eagle,Talon,1995,Red,20110
296,2020-10-04,"Nienow, Orn and Langosh",Chevrolet,Tahoe,2011,Khaki,19523
297,2020-11-15,"Stiedemann, Hilll and Kutch",Mercedes-Benz,R-Class,2007,Mauv,96972
298,2020-03-21,"Hane, Wehner and Lesch",Ferrari,599 GTB Fiorano,2009,Pink,89370
299,2021-08-23,"Crooks, Baumbach and Kuhlman",Hyundai,Elantra,2012,Turquoise,13751
300,2019-09-25,"Bauch, Collier and Gusikowski",Audi,80,1989,Khaki,99999
301,2018-01-08,Luettgen LLC,Toyota,T100,1993,Pink,32181
302,2021-04-15,Kunze and Sons,Ford,E150,2005,Puce,90505
303,2020-03-28,Hauck-Zemlak,Porsche,924,1988,Crimson,40244
304,2019-07-23,Schmeler Inc,Chevrolet,Camaro,2010,Pink,13314
305,2019-01-27,"Block, Kuhlman and Hills",Toyota,Camry,2000,Goldenrod,54513
306,2020-11-14,Bauch-Cassin,Hyundai,Sonata,1997,Khaki,34339
307,2021-11-02,Runolfsson Group,Ford,Ranger,2011,Orange,35975
308,2020-03-08,Erdman Inc,Toyota,Camry,1995,Teal,63200
309,2018-01-03,"Stoltenberg, Adams and Wilderman",Mercury,Mystique,1996,Goldenrod,21529
310,2022-12-10,"Mayer, Pouros and Heller",Isuzu,Ascender,2005,Blue,89736
311,2019-01-26,"Monahan, Ratke and Vandervort",Nissan,Xterra,2007,Teal,87753
312,2022-02-03,Bernhard-Schiller,Oldsmobile,Ciera,1993,Goldenrod,94773
313,2020-12-23,"Schiller, Schaden and Murphy",GMC,Yukon XL 1500,2010,Blue,55885
314,2021-10-19,"Jacobi, Botsford and Grimes",Toyota,Solara,2005,Violet,99785
315,2021-05-02,"Halvorson, Kuvalis and Reichel",Ford,Escort,2001,Yellow,72040
316,2019-11-29,Greenholt LLC,Ford,F150,2010,Green,99768
317,2020-03-21,Funk LLC,GMC,Yukon,2007,Maroon,61645
318,2022-09-21,Kshlerin-Crona,Mercedes-Benz,400SEL,1993,Violet,29864
319,2020-08-16,Gerhold and Sons,Chevrolet,Camaro,1999,Violet,84703
320,2021-05-24,Strosin-Price,Jeep,Commander,2006,Khaki,63882
321,2023-01-19,Hagenes-Fritsch,Volvo,940,1995,Fuscia,96605
322,2018-08-07,Gusikowski-Beer,Hyundai,Genesis,2011,Red,62393
323,2019-09-06,Osinski and Sons,Maserati,Quattroporte,2010,Goldenrod,70275
324,2018-10-28,Bernhard and Sons,BMW,330,2005,Purple,39172
325,2019-03-19,"Bosco, Boyle and Cummerata",Pontiac,Grand Prix,1977,Turquoise,32225
326,2019-10-30,Oberbrunner-Satterfield,Chevrolet,G-Series 3500,1997,Aquamarine,58765
327,2020-01-25,Schuster-Schimmel,Mercury,Cougar,1996,Pink,63929
328,2021-12-04,Armstrong Group,Land Rover,Range Rover,2011,Aquamarine,18264
329,2018-09-17,Crooks and Sons,Ford,Explorer,2013,Turquoise,25805
330,2022-09-19,Grimes-Adams,Dodge,Caravan,1992,Green,80984
331,2018-02-19,"Cormier, O'Conner and Trantow",Pontiac,Solstice,2007,Pink,89048
332,2018-12-07,Hills-Reynolds,Ford,Laser,1985,Aquamarine,95245
